period_end,total_buildings,new_buildings,cumulative_growth
2015-06-30,105422,105422,105422
2015-12-27,118061,12873,118061
2016-06-24,126285,8592,126285
2016-12-21,127599,1460,127599
2017-06-19,129537,2300,129537
2017-12-16,129883,490,129883
2018-06-14,130163,442,130163
2018-12-11,130225,172,130225
2019-06-09,130368,265,130368
2019-12-06,130632,406,130632
2020-06-03,130990,484,130990
2020-11-30,131103,250,131103
2021-05-29,131478,863,131478
2021-11-25,132082,790,132082
2022-05-24,132381,455,132381
2022-11-20,132596,468,132596
2023-05-19,133685,1475,133685
2023-11-15,134252,809,134252
2024-05-13,134768,753,134768
2024-11-09,135290,733,135290
2025-01-01,135576,346,135576
